1966 1 1 comm 83575036
1966 2 1 comm 179288194
1966 3 1 comm 84374302
1966 4 1 comm 10263973
1967 1 1 comm 66185022
1967 2 1 comm 167261919
1967 3 1 comm 97887549
1967 4 1 comm 13839530
1968 1 1 comm 51137382
1968 2 1 comm 192061698
1968 3 1 comm 107081232
1968 4 1 comm 18436129
1969 1 1 comm 78565687
1969 2 1 comm 187881831
1969 3 1 comm 96139881
1969 4 1 comm 22011062
1970 1 1 comm 69676274
1970 2 1 comm 247670122
1970 3 1 comm 114925399
1970 4 1 comm 18755803
1971 1 1 comm 68405577
1971 2 1 comm 219462665
1971 3 1 comm 131203738
1971 4 1 comm 16714409
1972 1 1 comm 85994688
1972 2 1 comm 175623800
1972 3 1 comm 111270014
1972 4 1 comm 15977613
1973 1 1 comm 71100201
1973 2 1 comm 172130915
1973 3 1 comm 102334971
1973 4 1 comm 23450158
1974 1 1 comm 67913043
1974 2 1 comm 157340730
1974 3 1 comm 110380623
1974 4 1 comm 24074126
1975 1 1 comm 83497737
1975 2 1 comm 132518530
1975 3 1 comm 101292325
1975 4 1 comm 31899635
1976 1 1 comm 77732236
1976 2 1 comm 120489791
1976 3 1 comm 89447282
1976 4 1 comm 35414989
1977 1 1 comm 98215955
1977 2 1 comm 100677182
1977 3 1 comm 71031811
1977 4 1 comm 36634915
1978 1 1 comm 74010959
1978 2 1 comm 114832209
1978 3 1 comm 77408910
1978 4 1 comm 29813334
1979 1 1 comm 121970295
1979 2 1 comm 97464549
1979 3 1 comm 69209403
1979 4 1 comm 43568332
1980 1 1 comm 165196224
1980 2 1 comm 103585483
1980 3 1 comm 71677224
1980 4 1 comm 51742721
1981 1 1 comm 114560048
1981 2 1 comm 186319498
1981 3 1 comm 78883012
1981 4 1 comm 49219648
1982 1 1 comm 128147392.5
1982 2 1 comm 119681903.25
1982 3 1 comm 83389163.5
1982 4 1 comm 51149971.25
1983 1 1 comm 97704571.5
1983 2 1 comm 90651517.25
1983 3 1 comm 68243053.75
1983 4 1 comm 36319487.75
1984 1 1 comm 86062397.5
1984 2 1 comm 64901441
1984 3 1 comm 81060362.5
1984 4 1 comm 49723948.75
1985 1 1 comm 97283002.75
1985 2 1 comm 93168042.75
1985 3 1 comm 85753162
1985 4 1 comm 46546006.25
1986 1 1 comm 122551952.75
1986 2 1 comm 100306149.8925
1986 3 1 comm 85820365.7575
1986 4 1 comm 57232802.085
1987 1 1 comm 120015014.27
1987 2 1 comm 107660613.7825
1987 3 1 comm 105324364.445
1987 4 1 comm 56935509.115
1988 1 1 comm 111893267.56
1988 2 1 comm 106048564.955
1988 3 1 comm 89324882.5975
1988 4 1 comm 68645329.7125
1989 1 1 comm 114499879.23
1989 2 1 comm 102223738.3175
1989 3 1 comm 77089980.355
1989 4 1 comm 60381711.67
1990 1 1 comm 101076022.966
1990 2 1 comm 93957352.7534
1990 3 1 comm 80008355.5673
1990 4 1 comm 58828526.7945
1991 1 1 comm 89799316
1991 2 1 comm 97306948
1991 3 1 comm 70732774
1991 4 1 comm 49128163
1992 1 1 comm 83658505
1992 2 1 comm 73101019
1992 3 1 comm 66445659
1992 4 1 comm 43397685
1993 1 1 comm 81382465
1993 2 1 comm 62639838
1993 3 1 comm 63700200
1993 4 1 comm 52311395
1994 1 1 comm 66497139
1994 2 1 comm 45508614
1994 3 1 comm 35992307
1994 4 1 comm 42875421
1995 1 1 comm 51032663
1995 2 1 comm 38189500
1995 3 1 comm 39213615
1995 4 1 comm 47530722
1996 1 1 comm 62458775
1996 2 1 comm 37123007
1996 3 1 comm 30986483
1996 4 1 comm 56788980
1997 1 1 comm 57423642
1997 2 1 comm 55000682
1997 3 1 comm 39973608
1997 4 1 comm 54148780
1998 1 1 comm 60544430
1998 2 1 comm 69101461
1998 3 1 comm 50067342
1998 4 1 comm 64263008
1999 1 1 comm 83329151
1999 2 1 comm 62456272
1999 3 1 comm 46428154
1999 4 1 comm 68371183
2000 1 1 comm 79559412
2000 2 1 comm 60586070
2000 3 1 comm 46488611
2000 4 1 comm 48725013
2001 1 1 comm 76283593
2001 2 1 comm 48845890
2001 3 1 comm 48657014
2001 4 1 comm 61406007
2002 1 1 comm 68404591
2002 2 1 comm 49414732
2002 3 1 comm 39325897
2002 4 1 comm 50914828
2003 1 1 comm 62867822
2003 2 1 comm 43913409
2003 3 1 comm 39387545
2003 4 1 comm 54656059
2004 1 1 comm 69664204
2004 2 1 comm 54093167
2004 3 1 comm 41218901
2004 4 1 comm 55793782
2005 1 1 comm 67427347
2005 2 1 comm 50120083
2005 3 1 comm 35183714
2005 4 1 comm 54147775
2006 1 1 comm 65999047
2006 2 1 comm 46534885
2006 3 1 comm 35487119
2006 4 1 comm 46007644
2007 1 1 comm 62703856
2007 2 1 comm 46979082
2007 3 1 comm 26060341
2007 4 1 comm 31774156
2008 1 1 comm 44721663
2008 2 1 comm 39888758
2008 3 1 comm 24420678
2008 4 1 comm 35419099
2009 1 1 comm 59165001
2009 2 1 comm 44036564
2009 3 1 comm 33513334
2009 4 1 comm 44709299
2010 1 1 comm 54966178
2010 2 1 comm 36060937
2010 3 1 comm 31383141
2010 4 1 comm 45471662
2011 1 1 comm 50389262
2011 2 1 comm 38161700
2011 3 1 comm 31451733
2011 4 1 comm 49810819
2012 1 1 comm 56243486
2012 2 1 comm 43656206
2012 3 1 comm 36985462
2012 4 1 comm 57088250
2013 1 1 comm 26523892
1985 2 1 igfs 1
1986 2 1 igfs 1
1987 2 1 igfs 1
1988 2 1 igfs 1
1989 2 1 igfs 1
1990 2 1 igfs 1
1991 2 1 igfs 1
1992 2 1 igfs 1
1993 2 1 igfs 1
1994 2 1 igfs 1
1995 2 1 igfs 1
1996 2 1 igfs 1
1997 2 1 igfs 1
1998 2 1 igfs 1
1999 2 1 igfs 1
2000 2 1 igfs 1
2001 2 1 igfs 1
2002 2 1 igfs 1
2003 2 1 igfs 1
2004 2 1 igfs 1
2005 2 1 igfs 1
2006 2 1 igfs 1
2007 2 1 igfs 1
2008 2 1 igfs 1
2009 2 1 igfs 1
2010 2 1 igfs 1
2011 2 1 igfs 1
2012 2 1 igfs 1
2013 2 1 igfs 1
1995 4 1 aut 1
1996 4 1 aut 1
1997 4 1 aut 1
1998 4 1 aut 1
1999 4 1 aut 1
2000 4 1 aut 1
2001 4 1 aut 1
2002 4 1 aut 1
2003 4 1 aut 1
2004 4 1 aut 1
2005 4 1 aut 1
2006 4 1 aut 1
2007 4 1 aut 1
2008 4 1 aut 1
2009 4 1 aut 1
2010 4 1 aut 1
2012 4 1 aut 1
